task_id,format,prompt_eval_count,eval_count,output_chars,output_bytes,response,model,semantic_ok,expected_semantics,observed_semantics
V2_015,JSON,80,62,180,180,"{
  ""task_id"": ""V2_015"",
  ""instructions"": [
    {
      ""device"": ""relay1"",
      ""action"": ""close""
    },
    {
      ""delay"": 100
    },
    {
      ""action"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay1"", ""0""], [""wait"", ""100""], [""halt""]]",null
V2_015,PYTHON,82,16,44,44,"relay1.close()
time.sleep(0.1)
relay1.stop()",llama3.1:8b,1,"[[""set"", ""relay1"", ""0""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""wait"", ""100""], [""halt""]]"
V2_016,MIR,158,32,74,74,"task V2_016 {
  require cap(relay1)
  set relay1 = 0
  wait 200ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay1"", ""0""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""wait"", ""200""], [""halt""]]"
V2_016,JSON,80,62,180,180,"{
  ""task_id"": ""V2_016"",
  ""instructions"": [
    {
      ""device"": ""relay1"",
      ""action"": ""close""
    },
    {
      ""delay"": 200
    },
    {
      ""action"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay1"", ""0""], [""wait"", ""200""], [""halt""]]",null
V2_016,PYTHON,82,16,44,44,"relay1.close()
time.sleep(0.2)
relay1.stop()",llama3.1:8b,1,"[[""set"", ""relay1"", ""0""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""wait"", ""200""], [""halt""]]"
V2_017,MIR,158,32,74,74,"task V2_017 {
  require cap(relay1)
  set relay1 = 0
  wait 500ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay1"", ""0""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""wait"", ""500""], [""halt""]]"
V2_017,JSON,80,66,176,176,"{
  ""task_id"": ""V2_017"",
  ""devices"": [
    {
      ""id"": ""relay1"",
      ""action"": ""close""
    }
  ],
  ""timers"": [
    {
      ""duration"": 500,
      ""unit"": ""ms""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay1"", ""0""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""halt""]]"
V2_017,PYTHON,82,16,42,42,"relay1.off()
time.sleep(0.5)
relay1.stop()",llama3.1:8b,1,"[[""set"", ""relay1"", ""0""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay1"", ""0""], [""wait"", ""500""], [""halt""]]"
V2_018,MIR,158,32,73,73,"task V2_018 {
  require cap(relay2)
  set relay2 = 1
  wait 50ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""halt""]]"
V2_018,JSON,80,62,175,175,"{
  ""task_id"": ""V2_018"",
  ""device"": ""relay2"",
  ""instructions"": [
    {
      ""action"": ""open""
    },
    {
      ""delay"": 50
    },
    {
      ""action"": ""close""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_018,PYTHON,82,16,41,41,"relay2.on()
time.sleep(0.05)
relay2.off()",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""50""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_019,MIR,158,32,74,74,"task V2_019 {
  require cap(relay2)
  set relay2 = 1
  wait 100ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""halt""]]"
V2_019,JSON,80,74,203,203,"{
  ""task_id"": ""V2_019"",
  ""devices"": [
    {
      ""id"": ""relay2"",
      ""action"": ""open""
    }
  ],
  ""wait_time"": 100,
  ""actions"": [
    {
      ""device"": ""relay2"",
      ""action"": ""stop""
    }
  ]
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""halt""]]"
V2_019,PYTHON,82,16,40,40,"relay2.on()
time.sleep(0.1)
relay2.off()",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""100""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_020,MIR,158,32,74,74,"task V2_020 {
  require cap(relay2)
  set relay2 = 1
  wait 200ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""halt""]]"
V2_020,JSON,80,62,175,175,"{
  ""task_id"": ""V2_020"",
  ""device"": ""relay2"",
  ""instructions"": [
    {
      ""action"": ""open""
    },
    {
      ""delay"": 200
    },
    {
      ""action"": ""stop""
    }
  ]
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""halt""]]"
V2_020,PYTHON,82,16,40,40,"relay2.on()
time.sleep(0.2)
relay2.off()",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""200""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_021,MIR,158,32,74,74,"task V2_021 {
  require cap(relay2)
  set relay2 = 1
  wait 500ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""halt""]]"
V2_021,JSON,80,62,176,176,"{
  ""task_id"": ""V2_021"",
  ""device"": ""relay2"",
  ""instructions"": [
    {
      ""action"": ""open""
    },
    {
      ""delay"": 500
    },
    {
      ""action"": ""close""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_021,PYTHON,82,16,40,40,"relay2.on()
time.sleep(0.5)
relay2.off()",llama3.1:8b,0,"[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay2"", ""1""], [""wait"", ""500""], [""set"", ""relay2"", ""0""], [""halt""]]"
V2_022,MIR,158,32,73,73,"task V2_022 {
  require cap(relay2)
  set relay2 = 0
  wait 50ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""50""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""50""], [""halt""]]"
V2_022,JSON,80,66,179,179,"{
  ""task_id"": ""V2_022"",
  ""devices"": [
    {
      ""device"": ""relay2"",
      ""action"": ""close""
    }
  ],
  ""wait_time"": 50,
  ""actions"": [
    {
      ""type"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""0""], [""wait"", ""50""], [""halt""]]",null
V2_022,PYTHON,82,16,45,45,"relay2.close()
time.sleep(0.05)
relay2.stop()",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""50""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""50""], [""halt""]]"
V2_023,MIR,158,32,74,74,"task V2_023 {
  require cap(relay2)
  set relay2 = 0
  wait 100ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""100""], [""halt""]]"
V2_023,JSON,80,84,233,233,"{
  ""task_id"": ""V2_023"",
  ""devices"": [
    {
      ""device"": ""relay2"",
      ""action"": ""close""
    }
  ],
  ""wait_time"": 100,
  ""actions"": [
    {
      ""type"": ""wait"",
      ""time"": 100
    },
    {
      ""type"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""0""], [""wait"", ""100""], [""halt""]]",null
V2_023,PYTHON,82,16,44,44,"relay2.close()
time.sleep(0.1)
relay2.stop()",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""100""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""100""], [""halt""]]"
V2_024,MIR,158,32,74,74,"task V2_024 {
  require cap(relay2)
  set relay2 = 0
  wait 200ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""200""], [""halt""]]"
V2_024,JSON,80,84,233,233,"{
  ""task_id"": ""V2_024"",
  ""devices"": [
    {
      ""device"": ""relay2"",
      ""action"": ""close""
    }
  ],
  ""wait_time"": 200,
  ""actions"": [
    {
      ""type"": ""wait"",
      ""time"": 200
    },
    {
      ""type"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""0""], [""wait"", ""200""], [""halt""]]",null
V2_024,PYTHON,82,16,44,44,"relay2.close()
time.sleep(0.2)
relay2.stop()",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""200""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""200""], [""halt""]]"
V2_025,MIR,158,32,74,74,"task V2_025 {
  require cap(relay2)
  set relay2 = 0
  wait 500ms
  halt
}",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""500""], [""halt""]]"
V2_025,JSON,80,84,233,233,"{
  ""task_id"": ""V2_025"",
  ""devices"": [
    {
      ""device"": ""relay2"",
      ""action"": ""close""
    }
  ],
  ""wait_time"": 500,
  ""actions"": [
    {
      ""type"": ""wait"",
      ""time"": 500
    },
    {
      ""type"": ""stop""
    }
  ]
}",llama3.1:8b,0,"[[""set"", ""relay2"", ""0""], [""wait"", ""500""], [""halt""]]",null
V2_025,PYTHON,82,16,44,44,"relay2.close()
time.sleep(0.5)
relay2.stop()",llama3.1:8b,1,"[[""set"", ""relay2"", ""0""], [""wait"", ""500""], [""halt""]]","[[""set"", ""relay2"", ""0""], [""wait"", ""500""], [""halt""]]"
V2_026,MIR,156,29,83,83,"task V2_026 {
  require cap(water_sensor)
  wait 100ms
  read water_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""100""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""100""], [""read"", ""water_sensor""], [""halt""]]"
V2_026,JSON,78,61,182,182,"{
  ""task_id"": ""V2_026"",
  ""instructions"": [
    {
      ""type"": ""wait"",
      ""ms"": 100,
      ""next"": {
        ""type"": ""read"",
        ""device"": ""water_sensor""
      }
    }
  ]
}",llama3.1:8b,1,"[[""wait"", ""100""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""100""], [""read"", ""water_sensor""], [""halt""]]"
V2_026,PYTHON,80,32,117,117,"import time

# Wait for 100 milliseconds
time.sleep(0.1)

# Read the water sensor
water_level = input(""water_sensor"")",llama3.1:8b,0,"[[""wait"", ""100""], [""read"", ""water_sensor""], [""halt""]]",null
V2_027,MIR,156,29,83,83,"task V2_027 {
  require cap(water_sensor)
  wait 200ms
  read water_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""200""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""200""], [""read"", ""water_sensor""], [""halt""]]"
V2_027,JSON,78,61,182,182,"{
  ""task_id"": ""V2_027"",
  ""instructions"": [
    {
      ""type"": ""wait"",
      ""ms"": 200,
      ""next"": {
        ""type"": ""read"",
        ""device"": ""water_sensor""
      }
    }
  ]
}",llama3.1:8b,1,"[[""wait"", ""200""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""200""], [""read"", ""water_sensor""], [""halt""]]"
V2_027,PYTHON,80,32,117,117,"import time

# Wait for 200 milliseconds
time.sleep(0.2)

# Read the water sensor
water_level = input(""water_sensor"")",llama3.1:8b,0,"[[""wait"", ""200""], [""read"", ""water_sensor""], [""halt""]]",null
V2_028,MIR,156,29,83,83,"task V2_028 {
  require cap(water_sensor)
  wait 500ms
  read water_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""500""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""500""], [""read"", ""water_sensor""], [""halt""]]"
V2_028,JSON,78,61,182,182,"{
  ""task_id"": ""V2_028"",
  ""instructions"": [
    {
      ""type"": ""wait"",
      ""ms"": 500,
      ""next"": {
        ""type"": ""read"",
        ""device"": ""water_sensor""
      }
    }
  ]
}",llama3.1:8b,1,"[[""wait"", ""500""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""500""], [""read"", ""water_sensor""], [""halt""]]"
V2_028,PYTHON,80,32,117,117,"import time

# Wait for 500 milliseconds
time.sleep(0.5)

# Read the water sensor
water_level = input(""water_sensor"")",llama3.1:8b,0,"[[""wait"", ""500""], [""read"", ""water_sensor""], [""halt""]]",null
V2_029,MIR,157,30,84,84,"task V2_029 {
  require cap(water_sensor)
  wait 1000ms
  read water_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""1000""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""1000""], [""read"", ""water_sensor""], [""halt""]]"
V2_029,JSON,79,62,183,183,"{
  ""task_id"": ""V2_029"",
  ""instructions"": [
    {
      ""type"": ""wait"",
      ""ms"": 1000,
      ""next"": {
        ""type"": ""read"",
        ""device"": ""water_sensor""
      }
    }
  ]
}",llama3.1:8b,1,"[[""wait"", ""1000""], [""read"", ""water_sensor""], [""halt""]]","[[""wait"", ""1000""], [""read"", ""water_sensor""], [""halt""]]"
V2_029,PYTHON,81,30,107,107,"import time

# Wait for 1 second
time.sleep(1)

# Read the water sensor
water_level = input(""water_sensor"")",llama3.1:8b,0,"[[""wait"", ""1000""], [""read"", ""water_sensor""], [""halt""]]",null
V2_030,MIR,156,29,95,95,"task V2_030 {
  require cap(temperature_sensor)
  wait 100ms
  read temperature_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""100""], [""read"", ""temperature_sensor""], [""halt""]]","[[""wait"", ""100""], [""read"", ""temperature_sensor""], [""halt""]]"
V2_030,JSON,78,61,190,190,"{
  ""task_id"": ""V2_030"",
  ""instructions"": [
    {
      ""type"": ""wait"",
      ""ms"": 100,
      ""next"": {
        ""device"": ""temperature_sensor"",
        ""action"": ""read""
      }
    }
  ]
}",llama3.1:8b,1,"[[""wait"", ""100""], [""read"", ""temperature_sensor""], [""halt""]]","[[""wait"", ""100""], [""read"", ""temperature_sensor""], [""halt""]]"
V2_030,PYTHON,80,32,136,136,"import time

# Wait for 100 milliseconds
time.sleep(0.1)

# Read the temperature from the sensor
temperature = temperature_sensor.read()",llama3.1:8b,0,"[[""wait"", ""100""], [""read"", ""temperature_sensor""], [""halt""]]",null
V2_031,MIR,156,29,95,95,"task V2_031 {
  require cap(temperature_sensor)
  wait 200ms
  read temperature_sensor
  halt
}",llama3.1:8b,1,"[[""wait"", ""200""], [""read"", ""temperature_sensor""], [""halt""]]","[[""wait"", ""200""], [""read"", ""temperature_sensor""], [""halt""]]"
