idx,class,n_bytes,intercept_stage,fault_code,blocked,escaped,hex
10,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
11,stack_underflow,5,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,5005650052
12,stack_overflow,553,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e021e061e061e061e021e061e001e021e061e001e061e041e061e041e061e0a1e0a1e081e0a1e0a1e061e021e021e041e021e001e081e0a1e081e001e0a1e041e001e001e081e061e081e081e021e001e081e001e021e001e081e001e0a1e021e061e001e081e021e081e081e001e081e001e061e0a1e081e081e081e041e041e021e0a1e0a1e041e021e041e061e021e0a1e0a1e041e061e041e001e001e061e081e081e001e001e081e021e081e041e021e041e001e021e041e041e021e061e081e0a1e041e081e0a1e081e001e0a1e081e041e0a1e001e021e041e001e001e0a1e081e021e041e041e081e021e0a1e041e021e0a1e0a1e041e081e061e041e001e001e0a1e061e041e001e001e041e021e0a1e041e021e0a1e061e081e0a1e061e081e001e001e001e0a1e021e081e001e041e081e081e021e061e021e001e041e041e001e041e021e0a1e021e0a1e001e041e081e061e081e0a1e021e021e021e021e061e001e021e0a1e041e061e0a1e0a1e021e041e021e0a1e001e061e001e061e021e021e061e041e041e021e021e001e0a1e021e061e041e041e001e041e041e0a1e081e061e0a1e081e041e001e001e041e021e081e041e001e001e081e061e041e0a1e041e061e081e081e001e061e081e021e041e001e0a1e061e001e081e081e0a1e0a1e0a1e0a1e0a1e021e041e061e001e0a1e041e081e041e0a1e001e0a1e041e081e041e0a1e061e041e061e0a1e041e081e021e021e061e0a1e061e0a1e0a52
13,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500565cd0f52
14,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50061e81
15,random_bytes,18,verifier,VERIFY_BAD_ENCODING,1,0,009b926bdca4eee2e26df2562b91ab2f789e
16,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470d52
17,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50050352
18,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
19,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50053252
20,stack_overflow,601,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e001e061e061e0a1e081e021e0a1e0a1e061e061e061e021e021e0a1e0a1e001e001e061e021e021e0a1e081e061e001e081e021e001e061e021e061e0a1e081e081e081e041e061e081e0a1e081e061e081e061e021e0a1e061e061e041e021e0a1e041e081e061e0a1e021e041e061e001e0a1e041e021e041e041e041e081e001e021e021e021e061e0a1e021e0a1e021e001e061e061e041e081e061e061e001e021e061e061e081e0a1e001e081e061e061e001e041e041e061e061e081e0a1e0a1e081e081e021e061e021e041e061e061e001e061e041e0a1e0a1e061e0a1e021e061e021e081e081e001e061e081e081e0a1e001e001e0a1e061e021e061e021e001e041e061e041e021e061e041e041e061e041e061e041e001e061e001e0a1e081e001e041e021e0a1e001e0a1e001e001e021e021e001e081e021e021e021e061e0a1e001e081e021e061e0a1e041e041e021e081e081e0a1e0a1e001e021e041e001e081e001e041e081e0a1e061e061e0a1e021e001e081e0a1e0a1e021e001e0a1e041e0a1e081e001e081e001e041e081e061e0a1e041e001e081e0a1e041e001e061e061e001e061e041e0a1e061e0a1e021e061e021e0a1e081e0a1e041e081e081e061e061e061e0a1e081e041e041e021e001e041e061e021e061e081e081e0a1e061e041e001e061e041e021e061e021e041e041e041e041e081e0a1e041e081e001e081e021e001e021e0a1e061e061e081e021e0a1e061e0a1e0a1e061e061e001e001e041e021e061e0a1e021e041e0a1e081e041e061e081e081e041e061e0a1e081e041e041e0a1e061e0452
21,jump_oob,5,verifier,VERIFY_BAD_ENCODING,1,0,5006646352
22,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
23,random_bytes,24,verifier,VERIFY_BAD_ENCODING,1,0,62a13d5e626ef78d9033639774b85b9a07408c171b9540fb
24,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470852
25,bad_opcode,5,verifier,VERIFY_BAD_ENCODING,1,0,5006fa0152
26,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
27,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50063352
28,stack_overflow,545,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e001e041e061e001e001e061e061e001e081e0a1e0a1e001e021e021e081e041e001e021e001e081e061e081e081e081e021e081e061e061e061e041e081e061e041e081e081e001e081e0a1e001e021e0a1e021e041e0a1e001e021e021e021e081e001e021e001e061e061e0a1e081e061e041e001e021e041e0a1e041e0a1e061e001e0a1e021e041e0a1e081e0a1e021e061e001e081e021e0a1e021e041e021e001e001e021e041e081e0a1e081e041e061e001e061e0a1e041e0a1e061e041e081e081e061e061e001e081e001e061e0a1e041e081e041e001e001e021e0a1e081e081e001e0a1e041e081e001e021e061e081e0a1e061e041e021e081e061e0a1e061e001e061e041e061e041e041e0a1e001e021e041e061e0a1e061e041e0a1e061e081e001e061e001e041e041e041e001e061e081e001e0a1e081e061e061e001e021e081e041e081e061e0a1e061e001e021e041e081e021e041e061e0a1e061e001e001e0a1e081e021e0a1e021e041e081e001e081e061e001e021e001e061e001e0a1e021e061e0a1e041e081e0a1e041e061e061e061e021e061e081e021e061e021e081e081e0a1e021e001e041e061e041e081e041e001e041e0a1e041e081e081e0a1e061e021e061e081e061e041e041e081e081e061e061e041e021e0a1e021e081e061e021e061e001e041e0a1e061e0a1e061e061e0a1e0a1e021e061e001e021e081e081e041e001e061e001e081e061e001e0a52
29,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500564ce0f52
30,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
31,random_bytes,16,verifier,VERIFY_BAD_ENCODING,1,0,87adcb29a8c2a2f912237893742ede32
32,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460852
33,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50060352
34,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
35,stack_underflow,5,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,5006650052
36,stack_overflow,529,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e041e041e041e061e021e021e081e061e081e0a1e021e021e021e001e081e061e081e0a1e021e061e081e021e021e061e0a1e041e061e041e0a1e001e061e041e0a1e081e021e001e061e041e081e041e0a1e061e0a1e041e061e041e021e061e061e001e021e061e081e041e081e041e0a1e041e001e0a1e061e041e001e081e0a1e0a1e001e081e0a1e061e041e021e081e041e021e0a1e021e081e041e0a1e0a1e0a1e0a1e021e0a1e001e0a1e0a1e001e041e061e001e081e041e0a1e021e001e041e041e0a1e061e021e021e021e081e041e081e081e041e021e041e061e041e0a1e041e001e061e001e021e021e0a1e0a1e0a1e061e081e041e001e061e001e041e081e001e061e041e0a1e0a1e0a1e041e081e061e0a1e041e001e0a1e021e061e001e081e081e041e081e021e0a1e001e0a1e061e0a1e041e0a1e061e001e021e001e001e041e061e001e001e021e081e021e061e061e041e0a1e0a1e0a1e081e061e081e0a1e0a1e021e061e0a1e001e061e081e061e041e001e0a1e041e021e061e061e021e041e001e0a1e041e081e0a1e041e001e061e041e021e001e061e001e0a1e021e0a1e0a1e081e001e001e041e021e021e081e021e001e081e021e081e021e021e041e021e081e001e041e021e021e081e041e021e001e0a1e001e021e001e041e021e081e041e001e021e041e001e021e0a1e061e081e001e0a1e001e061e061e041e081e0852
37,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500564ce0f52
38,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
39,random_bytes,24,verifier,VERIFY_BAD_ENCODING,1,0,9aea0f1ff5cdda37fbe32529a44b21408ca6c396e8dc323a
40,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460d52
41,bad_opcode,5,verifier,VERIFY_BAD_ENCODING,1,0,5005c70152
42,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
43,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50063252
44,stack_overflow,575,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e0a1e001e041e061e041e0a1e041e041e021e0a1e061e001e001e001e001e061e001e0a1e0a1e041e021e081e001e081e081e081e041e0a1e001e061e041e0a1e061e0a1e001e041e081e041e041e001e081e081e021e021e0a1e061e021e001e041e081e041e001e041e081e021e061e081e081e081e0a1e0a1e081e001e081e0a1e0a1e041e001e021e041e0a1e041e041e041e001e021e021e081e0a1e061e001e021e0a1e0a1e001e001e0a1e081e021e061e061e061e041e021e041e041e0a1e041e081e081e001e001e021e021e081e001e0a1e001e041e061e0a1e061e061e081e061e061e041e021e081e001e041e061e001e041e0a1e0a1e081e061e081e0a1e041e001e021e061e081e001e001e021e041e021e021e041e041e041e001e001e061e0a1e061e021e021e061e081e0a1e021e081e081e0a1e041e001e061e0a1e001e061e001e061e001e041e081e061e081e061e0a1e0a1e061e041e001e061e001e041e021e081e061e0a1e041e001e061e001e021e061e081e061e081e001e061e041e0a1e041e021e041e021e001e081e0a1e001e081e081e021e041e041e0a1e0a1e021e021e001e021e041e021e021e081e021e0a1e001e021e0a1e061e061e081e081e061e0a1e081e0a1e0a1e081e041e0a1e041e021e061e001e061e061e0a1e041e041e081e001e041e081e001e041e061e061e001e001e041e041e001e0a1e001e081e081e081e061e061e081e081e0a1e001e061e081e0a1e021e041e081e061e081e021e001e061e001e041e0a1e001e081e0a52
45,jump_oob,5,verifier,VERIFY_BAD_ENCODING,1,0,5005646452
46,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50061e81
47,random_bytes,15,verifier,VERIFY_BAD_ENCODING,1,0,51babe90c6d1ad1aab21a830c59181
48,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460952
49,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50057852
50,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
51,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50062c52
52,stack_overflow,599,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e0a1e001e041e081e061e0a1e041e021e0a1e0a1e0a1e0a1e081e001e0a1e0a1e061e081e041e001e041e041e021e021e041e061e021e021e021e021e001e041e001e081e081e0a1e081e001e0a1e041e081e021e081e061e021e021e021e0a1e081e021e0a1e061e001e061e041e0a1e0a1e021e061e081e041e0a1e061e021e081e021e041e061e021e041e0a1e081e061e061e041e061e081e081e061e021e021e081e021e041e001e0a1e061e041e081e001e0a1e081e001e041e001e021e041e061e081e021e061e001e021e061e041e001e061e001e061e081e041e021e061e001e041e021e001e041e001e0a1e0a1e041e021e021e001e041e061e0a1e021e0a1e061e061e081e001e001e001e041e021e021e081e0a1e081e081e061e001e041e021e041e001e001e021e061e0a1e081e061e001e001e061e081e081e001e0a1e081e081e021e0a1e021e041e061e001e081e041e021e081e061e021e0a1e0a1e001e081e041e001e081e081e081e081e081e001e061e061e001e0a1e061e041e041e0a1e001e041e001e041e021e0a1e0a1e0a1e001e081e0a1e041e021e001e041e081e041e0a1e021e0a1e061e0a1e061e0a1e021e021e001e0a1e061e001e041e021e001e021e001e041e041e081e061e081e061e041e001e0a1e021e041e041e001e0a1e041e041e001e041e061e061e0a1e061e061e041e021e061e0a1e061e041e081e041e001e0a1e061e001e061e081e021e081e041e041e001e001e041e0a1e041e041e061e081e0a1e061e021e0a1e061e041e061e001e0a1e041e081e061e041e0a1e001e001e0a1e0a1e0652
53,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500664cd0f52
54,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
55,random_bytes,5,verifier,VERIFY_BAD_ENCODING,1,0,e011402278
56,unauthorized_io,6,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e0246c80152
57,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50051652
58,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
59,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50063352
60,stack_overflow,579,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e001e081e021e081e041e061e041e0a1e041e021e001e001e0a1e021e061e081e061e081e001e041e041e0a1e061e021e081e041e0a1e061e021e001e021e001e061e021e0a1e061e001e0a1e041e0a1e041e0a1e001e081e081e041e041e021e0a1e0a1e0a1e0a1e021e041e081e021e001e021e021e021e061e001e041e081e081e041e061e081e021e081e001e001e041e061e0a1e0a1e061e081e061e061e081e001e021e041e0a1e001e061e061e0a1e081e041e021e081e0a1e081e021e021e061e081e001e001e081e021e041e021e021e041e0a1e021e041e081e041e001e041e021e0a1e081e041e021e0a1e041e081e081e001e081e0a1e021e081e081e021e021e0a1e081e0a1e081e041e081e001e001e001e001e0a1e081e041e0a1e021e081e061e081e0a1e001e061e0a1e081e041e0a1e041e061e021e0a1e061e041e061e001e0a1e001e021e061e061e061e061e021e041e081e021e041e0a1e041e0a1e041e061e021e041e081e081e001e041e021e061e001e041e061e021e021e001e001e041e061e081e061e021e021e041e081e0a1e041e021e021e061e081e061e061e041e061e001e001e061e081e061e021e021e081e041e001e001e041e061e081e0a1e0a1e061e041e081e001e001e061e021e041e0a1e041e061e041e001e061e001e081e081e021e041e081e041e001e061e081e061e081e041e081e0a1e081e001e021e001e061e041e041e081e041e021e021e081e081e061e081e001e001e001e021e0a1e041e061e081e061e021e081e081e021e041e0852
61,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500665c80152
62,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50061e81
63,random_bytes,19,verifier,VERIFY_BAD_ENCODING,1,0,acfa99f308bca938d59d0df287741af557c24b
64,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460d52
65,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50052152
66,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
67,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50063352
68,stack_overflow,575,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e021e061e0a1e021e061e081e081e061e0a1e0a1e001e0a1e021e081e021e081e041e0a1e061e081e061e041e021e061e081e041e081e041e0a1e0a1e0a1e0a1e0a1e041e081e061e021e021e041e081e041e021e041e041e0a1e021e0a1e0a1e061e041e061e041e081e0a1e041e041e001e081e0a1e081e061e061e041e021e041e001e041e0a1e001e041e061e0a1e041e0a1e061e021e021e081e041e081e0a1e041e021e001e081e0a1e081e021e021e001e0a1e081e021e0a1e021e001e001e061e041e0a1e061e001e0a1e021e001e081e021e061e0a1e061e061e0a1e021e041e041e041e0a1e001e001e0a1e081e021e081e0a1e0a1e001e021e061e021e001e061e061e021e0a1e041e001e001e041e081e081e001e041e041e061e0a1e081e081e061e021e081e061e041e021e001e041e021e0a1e061e0a1e041e0a1e021e001e0a1e041e041e081e0a1e021e021e081e0a1e061e061e081e041e001e061e0a1e001e021e021e061e041e021e001e041e061e021e061e041e041e041e081e0a1e081e001e041e0a1e041e0a1e021e001e0a1e001e061e041e021e061e0a1e081e0a1e041e0a1e001e0a1e041e041e081e021e021e021e061e021e061e0a1e081e041e061e0a1e081e061e081e0a1e021e021e0a1e081e001e081e061e081e0a1e041e001e081e001e001e081e081e021e081e081e021e021e041e081e061e001e0a1e021e0a1e081e061e001e081e061e001e061e021e081e061e061e081e001e081e061e0a1e041e0a1e001e061e041e001e0a1e021e0852
69,jump_oob,5,verifier,VERIFY_BAD_ENCODING,1,0,5005656452
70,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50061e81
71,random_bytes,23,verifier,VERIFY_BAD_ENCODING,1,0,201e23f11092d15c45d7bfc3e5c1c02944b23c5bc94172
72,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470752
73,bad_opcode,5,verifier,VERIFY_BAD_ENCODING,1,0,5006fa0152
74,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
75,stack_underflow,5,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,5006650052
76,stack_overflow,551,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e021e061e041e021e041e021e0a1e001e001e0a1e061e081e001e021e021e001e001e081e001e061e081e0a1e0a1e001e021e0a1e001e061e061e021e081e021e001e021e081e041e021e0a1e081e041e081e081e0a1e041e021e041e021e0a1e081e021e061e041e041e001e081e081e0a1e021e0a1e0a1e061e081e061e001e041e0a1e0a1e061e081e041e0a1e061e061e021e041e061e021e081e061e021e021e041e0a1e021e061e001e081e061e061e081e081e021e061e021e041e021e041e0a1e001e061e041e001e081e0a1e021e001e041e061e0a1e081e081e001e001e021e081e0a1e0a1e081e021e061e021e041e041e001e021e021e0a1e001e0a1e061e021e0a1e081e0a1e021e061e021e081e041e041e061e061e081e0a1e041e041e041e041e081e061e061e001e0a1e061e041e021e041e041e061e001e081e021e0a1e021e001e041e081e081e081e0a1e061e041e021e021e041e021e061e081e021e061e081e0a1e0a1e041e041e061e0a1e0a1e0a1e061e061e021e0a1e041e021e021e0a1e081e061e021e081e0a1e001e081e001e001e0a1e001e001e061e021e0a1e021e001e0a1e021e001e021e081e061e041e001e081e0a1e0a1e081e061e0a1e061e001e001e081e081e061e001e001e081e0a1e041e081e041e001e081e0a1e0a1e061e021e001e001e081e021e021e021e081e081e041e041e041e061e001e041e061e061e081e021e0a1e021e041e0a1e001e0a1e0a1e001e001e0652
77,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500665ce0f52
78,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
79,random_bytes,21,verifier,VERIFY_BAD_ENCODING,1,0,04572affdea93015756cf38a17268f105ba1086a49
80,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470552
81,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50061652
82,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
83,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50064052
84,stack_overflow,591,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e041e061e0a1e021e0a1e0a1e001e081e0a1e041e001e001e061e021e001e041e081e081e081e061e041e001e0a1e041e061e061e021e041e081e061e061e021e0a1e081e0a1e061e001e081e041e021e0a1e001e001e041e021e061e0a1e0a1e021e0a1e061e041e041e001e001e001e041e061e041e041e001e021e001e021e061e061e081e081e081e061e001e001e001e041e081e001e081e081e041e061e001e041e061e061e001e0a1e081e021e081e081e021e0a1e061e021e021e041e041e041e061e021e001e021e061e041e061e041e061e001e041e041e021e0a1e0a1e061e081e081e021e061e001e021e041e001e061e041e081e061e041e061e041e061e0a1e081e021e041e041e081e0a1e021e061e041e021e061e041e041e0a1e0a1e0a1e061e081e021e041e061e041e061e041e001e081e021e081e081e021e0a1e081e001e0a1e061e0a1e021e061e041e0a1e001e061e0a1e061e021e0a1e041e021e041e0a1e021e0a1e061e061e001e061e081e061e081e061e081e081e0a1e061e081e001e041e0a1e081e081e0a1e001e001e021e0a1e0a1e041e021e0a1e081e001e081e0a1e0a1e0a1e061e041e061e001e001e001e041e021e081e0a1e081e081e081e0a1e081e021e061e041e061e061e0a1e081e0a1e081e021e041e001e061e001e041e061e001e001e0a1e021e041e041e041e061e021e081e061e041e061e001e061e0a1e0a1e061e041e001e041e001e0a1e001e001e041e0a1e001e0a1e021e0a1e021e081e021e081e021e041e081e061e061e021e061e0a1e021e021e0a1e0a1e0652
85,jump_oob,5,verifier,VERIFY_BAD_ENCODING,1,0,5006646452
86,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50061e81
87,random_bytes,19,verifier,VERIFY_BAD_ENCODING,1,0,dbc7026d698e20345fbba664ea3a86faa0c6c8
88,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460852
89,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50061652
90,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50066401
91,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50054052
92,stack_overflow,539,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e041e001e021e041e001e021e041e0a1e021e081e061e061e081e021e081e061e061e021e061e0a1e081e0a1e0a1e021e081e021e061e041e021e021e041e061e081e001e041e001e061e021e021e061e081e081e0a1e061e061e0a1e061e061e0a1e061e061e021e001e081e001e021e041e001e041e021e081e041e021e061e081e0a1e061e081e081e001e081e001e041e081e041e081e001e0a1e061e081e021e061e001e0a1e0a1e021e041e001e061e041e041e001e061e001e021e021e0a1e081e0a1e041e0a1e081e0a1e061e021e081e021e021e021e001e081e041e081e041e081e081e021e041e0a1e041e041e081e041e081e0a1e001e021e061e001e041e0a1e021e0a1e021e021e021e0a1e041e021e0a1e061e061e021e081e0a1e041e0a1e061e061e061e001e0a1e001e061e081e0a1e041e0a1e041e061e061e041e081e001e0a1e001e0a1e061e0a1e0a1e0a1e041e001e081e061e021e061e021e061e041e041e041e041e081e081e021e081e061e041e0a1e001e001e001e0a1e061e001e001e021e061e061e001e061e021e0a1e021e0a1e041e021e041e001e0a1e041e041e001e041e0a1e0a1e021e001e061e0a1e041e0a1e0a1e021e061e0a1e001e0a1e001e001e021e061e001e021e081e021e081e0a1e061e001e001e0a1e041e001e061e0a1e021e061e001e021e061e001e0a1e001e001e041e041e041e021e061e021e0a1e0a1e021e001e081e081e0052
93,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500565ce0f52
94,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
95,random_bytes,21,verifier,VERIFY_BAD_ENCODING,1,0,4dd2e26f2c33473fc4b3dba1477e8d2b7f910d9a69
96,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470d52
97,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50060352
98,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
99,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50063252
100,stack_overflow,537,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e021e061e0a1e081e001e081e001e041e041e021e061e081e061e041e081e0a1e021e061e001e001e081e001e001e041e021e001e001e061e081e041e0a1e0a1e081e061e061e0a1e061e001e0a1e081e081e081e021e041e001e041e001e081e021e021e081e041e061e081e0a1e0a1e0a1e0a1e001e041e0a1e061e0a1e021e001e021e001e061e001e061e081e081e001e041e0a1e0a1e0a1e0a1e021e001e001e0a1e021e0a1e001e021e061e041e081e081e0a1e041e021e041e021e0a1e041e0a1e001e001e041e061e041e081e001e041e0a1e081e0a1e001e061e061e081e041e001e061e081e021e041e021e041e001e081e0a1e0a1e001e021e0a1e081e001e001e001e021e001e061e041e061e021e021e001e081e0a1e0a1e0a1e061e021e041e021e061e0a1e041e041e001e081e041e001e081e0a1e001e021e021e081e001e061e001e061e041e041e041e001e081e061e001e041e021e041e081e041e0a1e081e021e061e041e081e061e021e0a1e081e021e021e001e061e001e021e081e041e0a1e0a1e001e041e001e0a1e061e0a1e0a1e041e001e021e081e021e061e061e001e021e0a1e041e001e001e021e081e061e0a1e041e061e0a1e001e081e001e081e021e0a1e061e001e081e081e001e061e0a1e021e021e041e041e041e061e0a1e0a1e041e041e061e041e021e001e021e021e081e001e021e001e021e061e061e041e061e001e081e041e021e0652
101,jump_oob,6,verifier,VERIFY_BAD_ENCODING,1,0,500665ce0f52
102,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
103,random_bytes,3,verifier,VERIFY_BAD_ENCODING,1,0,509b14
104,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470d52
105,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50061652
106,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
107,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50053352
